f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,clase
0.9999999999999999,1.0,0.0,0.0,0.6666658471523929,1.0,0.6666669675579064,0.0,1.0,0.8888879320441189,0.0,1.0,0.9999999999999999,0.5000008755954047,1.0,0.5000010124224232,0.5,1.0,1.0,0.8750002220481363,1.0,0.3333333333333333,0.0,0.9999999999999998,0.0,0.0,0.9999999999999999,0.0,0.9999999999999999,0
0.49999999999999994,0.6666662092925613,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.7777768974805894,0.0,0.6666662450292906,0.6666667970874431,0.9999999999999999,0.14285684168806476,1.0,0.250000188193068,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998,0.0,0.0,0.0,0.0,0
0.49999999999999994,0.3333326930095857,0.0,1.0,0.6666658471523929,0.0,0.0,0.0,1.0,0.4444437937900008,0.0,1.0,0.9999999999999999,0.5000008755954047,0.14285684168806476,0.5000010124224232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.9999999999999999,0.3333326930095857,0.0,1.0,0.7777768216777916,0.0,1.0,0.0,1.0,0.1111103456352951,0.0,1.0,0.6666667970874431,0.9999999999999999,0.42857094670090357,0.5000010124224232,0.750000564579204,1.0,1.0,0.8750002220481363,1.0,1.0000000000000002,1.0,0.9999999999999998,0.0,1.0,0.0,0.0,0.0,0
0.49999999999999994,0.6666662092925613,0.0,1.0,0.11111097452539881,0.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.6666662450292906,0.6666667970874431,0.9999999999999999,0.14285684168806476,0.5000010124224232,0.250000188193068,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998,0.0,0.0,0.0,0.0,0
0.0,0.3333326930095857,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6666658629170599,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.49999999999999994,0.3333326930095857,0.0,1.0,0.11111097452539881,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.6666667970874431,0.5000008755954047,0.8571410501283883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.0,0.3333326930095857,0.9999999999999999,0.0,0.0,0.0,0.6666669675579064,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,1
0.9999999999999999,0.3333326930095857,0.0,1.0,0.7777768216777916,0.0,0.0,0.0,0.0,0.5555548283535303,0.0,0.6666662450292906,0.6666667970874431,0.9999999999999999,1.0,0.5000010124224232,0.750000564579204,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,1.0,0.0,0.6666669675579064,0.0,0.0,0.6666658629170599,0.9999999999999999,0.6666662450292906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
