f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,clase
-1.287627936950922,-1.297178350006307,0.9104757085062862,0.6480811127011655,1.524489856960967,0.019437381743013928,1.1664762940044286,-0.1704046090660907,-0.5849035083591649,-0.1448218292711348,-0.6161055192230109,-0.3128247883871483,-0.30402692436227885,-0.3002965178706758,-0.26921104860526573,-0.5545095950616331,-0.5178745046099636,-0.4691391844419218,-0.48413939401216916,-0.5531135805506963,-0.6591733223401995,-0.8488694760663303,-0.863486629465841,-0.9992465148011733,1
-1.287627936950922,-1.297178350006307,0.9104757085062862,0.6503733241228778,1.524489856960967,0.019437381743013928,1.1664762940044286,0.08691638763146738,-0.5849035083591649,-0.14023341436336018,-0.6182767197566814,-0.3128247883871483,-0.3061591190603945,-0.2983933435552046,-0.26921104860526573,-0.5554196777293574,-0.5178745046099636,-0.4691391844419218,-0.48413939401216916,-0.5496092608428792,-0.6591733223401995,-0.8488694760663303,-0.8611634141467683,-0.9992465148011733,1
-1.287627936950922,-1.297178350006307,0.9104757085062862,0.6358609855799171,1.524489856960967,0.019437381743013928,1.1664762940044286,0.08691638763146738,-0.5834293720780066,-0.1448218292711348,-0.6175526528813349,-0.3128247883871483,-0.3061591190603945,-0.3002965178706758,-0.26921104860526573,-0.5545095950616331,-0.5178745046099636,-0.4691391844419218,-0.48413939401216916,-0.5496092608428792,-0.6591733223401995,-0.8488694760663303,-0.8588401988276958,-0.9992465148011733,1
-1.2888780514681466,-1.2950481561216076,0.9104757085062862,0.6335697742504484,1.524489856960967,0.019437381743013928,1.1664762940044286,-0.16860544408012926,-0.5834293720780066,-0.145586898452575,-0.5929493805050904,-0.3128247883871483,-0.3061591190603945,-0.3002965178706758,-0.26921104860526573,-0.5545095950616331,-0.5178745046099636,-0.4691391844419218,-0.48413939401216916,-0.5496092608428792,-0.6591733223401995,-0.8488694760663303,-0.8603893424046408,-0.9992465148011733,1
-1.287627936950922,-1.297178350006307,0.9112767826477355,0.6358609855799171,1.524489856960967,0.019437381743013928,1.1664762940044286,0.08961553514709342,-0.5834293720780066,-0.14788010581602903,-0.6175526528813349,-0.3128247883871483,-0.3061591190603945,-0.3002965178706758,-0.26921104860526573,-0.5554196777293574,-0.5178745046099636,-0.4691391844419218,-0.48413939401216916,-0.5496092608428792,-0.6591733223401995,-0.8488694760663303,-0.8627125577237134,-0.9992465148011733,1
-1.2863878233498354,-1.297178350006307,0.9112767826477355,0.6358609855799171,1.524489856960967,0.019437381743013928,1.1664762940044286,0.08331745760451867,-0.5834293720780066,-0.14329269099868766,-0.6110400513726928,-0.3136248610385979,-0.3068691838988852,-0.2990284017214285,-0.26921104860526573,-0.558150925823374,-0.5178745046099636,-0.4691391844419218,-0.48413939401216916,-0.552237500623742,-0.6591733223401995,-0.8488694760663303,-0.8603893424046408,-0.9983774352276348,1
-1.285137708832611,1.8956922567606005,0.9120788568817457,0.6350969151060131,1.524489856960967,0.02021705363028799,-0.22858114183364261,-0.17490302157684912,-0.5863776446403234,-0.14864517499746924,-0.5951205810387609,-0.3152260064323115,-0.3082913137585102,-0.30219869209454664,-0.2686279941254007,-0.559062008581942,-0.5189356020428084,-0.4702632882820893,-0.48413939401216916,-0.5478571009889706,-0.6569191162260332,-0.8475963605061758,-0.8603893424046408,-0.9966392760805578,1
-1.2801572525959886,1.9105836121329822,0.9152861537252257,0.6396793377649508,1.524489856960967,0.02021705363028799,1.1664762940044286,0.07701938006194393,-0.588588849062061,-0.14864517499746924,-0.6161055192230109,-0.31842829721973875,-0.3111335732951166,-0.30536998255926506,-0.2715422664312784,-0.5526894297261844,-0.5199976995674842,-0.4713873921222568,-0.48501347423328683,-0.5461049411350619,-0.6535388071462273,-0.8463242450367991,-0.8603893424046408,-0.9931619576948348,1
-1.2714364537238305,1.9134238706459148,0.9184924504761446,0.6434986900422278,1.524489856960967,0.020996825526783093,-0.2292882064226453,0.07162108503069184,-0.5915371216243778,-0.15323358990524386,-0.6103169845897155,-0.3240318060523293,-0.31610902762116044,-0.30917533109860706,-0.8469610328249996,-0.5526894297261844,-0.521058797000329,-0.4713873921222568,-0.4858875544544046,-0.5426006214272449,-0.6490303949178942,-0.8431429562725795,-0.8526456247052956,-0.9879464801620348,2
-1.2627156548516725,1.9112936767612154,0.9225018215536348,0.6473180423195048,1.524489856960967,0.0225563693197733,1.1664762940044286,-0.17490302157684912,-0.5930102578130795,-0.15629186645013812,-0.6233421876069996,-0.32963531488491976,-0.3210834818558825,-0.3136147377125727,-0.8522075230503372,-0.5572408431556496,-0.5242430893906943,-0.4725114959624243,-0.4893818751553032,-0.5382192217012326,-0.6445229827810051,-0.8399606674175821,-0.8472251223250229,-0.9818609229641272,2
-1.2539948559795144,-1.2780266068645263,0.9273112666800131,0.6671768739953073,1.524489856960967,0.023336141216268404,1.1664762940044286,0.06352354247464273,-0.5974326666565546,-0.1539976589962508,-0.6334731233076359,-0.3360398964597743,-0.326769001020417,-0.3186892024927624,-0.8574550133691224,-0.5545095950616331,-0.5253051869153702,-0.47476070373514384,-0.4902559553764209,-0.533838822066461,-0.6388884675870327,-0.8374154363880509,-0.8410295481099327,-0.9749072862842503,2
