f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,clase
-0.2886904148853097,-0.7197917864130697,-0.23992990511669152,-0.4023977042923601,0.17642299625980298,-0.7504006278145169,-0.056307052839333786,-0.2770633523145142,-0.3817018478892552,-0.6017157969566334,0
-0.235944580768829,-0.7197917864130697,-0.23848677341160326,-0.40998639653083396,0.33958285004884725,0.5622597855569904,-0.03792056893468528,-0.2739140637835003,-0.37426016860772243,-0.6076933408294359,0
-0.235944580768829,-0.623899017781793,-0.22487553120352907,-0.35028195030723697,-0.459334882030647,-0.25815284778882924,-0.025904268435842065,-0.2636801261722382,-0.3514040822886591,-0.5957382530838308,0
-0.2886904148853097,-0.7197917864130697,-0.23992990511669152,-0.4023977042923601,0.013264042552700576,-0.24643278160857227,-0.027352001024739916,-0.27785042442436103,-0.3801077023745713,-0.6196484285750411,0
-0.235944580768829,-0.7546619750145749,-0.2434362251153328,-0.4317123783690795,0.7390412160430712,0.9314463706444902,-0.057465258912283906,-0.2809997129553749,-0.3848911390099121,-0.6136708847022385,0
-0.2886904148853097,-0.7110739892398308,-0.23889881101555085,-0.3958831100328162,1.0203528261623214,1.2596142242375588,-0.054714506987882466,-0.2707657753441127,-0.37266602309303853,-0.5837831653382256,0
-0.235944580768829,-0.745944177841336,-0.24219911221221835,-0.4262728821796937,0.27206870367849695,-0.4515354398995378,-0.05384582743088007,-0.280212640845528,-0.3848911390099121,-0.6136708847022385,0
-0.2886904148853097,-0.7285095835863086,-0.24096099921783215,-0.408912298551904,-0.20053032091395523,-2.649071350835725,0.054735416855528504,-0.280212640845528,-0.38861147860503403,-0.6316035163206463,0
-0.2886904148853097,-0.7372273807595475,-0.24199209331897284,-0.4154258927202198,0.17642299625980298,-1.553231661753483,0.054735416855528504,-0.280212640845528,-0.3870173330903501,-0.6316035163206463,0
-0.2886904148853097,-0.7197917864130697,-0.23992990511669152,-0.4023977042923601,0.6602740452169646,0.7556433777586777,0.033019127994583106,-0.27470213598497345,-0.3769184112539144,-0.6256259724478437,0
-0.2886904148853097,-0.7633797721878138,-0.24508637571366657,-0.43496967549885146,2.426890874937643,1.2596142242375588,0.025780365040934634,-0.28178678506522176,-0.38861147860503403,-0.6316035163206463,0
-0.2886904148853097,-0.7546619750145749,-0.2440552816125259,-0.4284550812393076,0.9247051185615345,-0.30503311250985726,0.025780365040934634,-0.28178678506522176,-0.38808043013056903,-0.6316035163206463,0
-0.2886904148853097,-0.7285095835863086,-0.24096099921783215,-0.408912298551904,0.3620868987782663,-0.30503311250985726,0.09816789456826008,-0.27785042442436103,-0.38223389645500927,-0.6316035163206463,0
-0.2886904148853097,-0.7197917864130697,-0.23992990511669152,-0.4023977042923601,0.33958285004884725,0.42161799130292776,-0.01765211267179695,-0.27627628020466727,-0.37798150829413335,-0.6196484285750411,0
-0.235944580768829,-0.7197917864130697,-0.23848677341160326,-0.40998639653083396,0.20455455730814662,0.5622597855569904,-0.028510207097690043,-0.27470213598497345,-0.37426016860772243,-0.6136708847022385,0
-0.2886904148853097,-0.7110739892398308,-0.23889881101555085,-0.3958831100328162,0.03576879134585224,-1.816935651036712,0.12712264635537632,-0.27627628020466727,-0.38382804196969317,-0.6316035163206463,0
-0.235944580768829,-0.7197917864130697,-0.23848677341160326,-0.40998639653083396,0.20455455730814662,0.9783266353655182,-0.028510207097690043,-0.27470213598497345,-0.37266602309303853,-0.6136708847022385,0
-0.2886904148853097,-0.6151812206085542,-0.22755677590300347,-0.32422357326906137,-0.7687750529251013,-2.25644563347869,-0.01041334971814848,-0.2707657753441127,-0.3737291201332575,-0.6136708847022385,0
-0.2886904148853097,-0.7372273807595475,-0.24199209331897284,-0.4154258927202198,0.17642299625980298,-1.318830338148343,-0.01765211267179695,-0.280212640845528,-0.38648528452459613,-0.6256259724478437,0
-0.3414362490017905,-0.7285095835863086,-0.24219911221221835,-0.39914040716258814,0.27206870367849695,-1.6704323235560528,0.054735416855528504,-0.280212640845528,-0.3875483815648151,-0.6316035163206463,0
-0.3414362490017905,-0.7285095835863086,-0.24219911221221835,-0.39914040716258814,0.502741703746845,0.040711940089758245,-0.01041334971814848,-0.2794255687356811,-0.38382804196969317,-0.6256259724478437,0
