f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,clase
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,0.0,0.11111175492791459,1.0,0.0,1.0,0.7586211605355182,0.6388888953725176,0.37523471990091817,0.6938776041598859,0.742856967728841,0.6000008000576041,0.2857135821178253,0.36592278390005395,0.653845811328076,0.6566972542770432,0.6816482316643159,0.0,0.0,0.8064519442105046,0.33333305482380493,0.5666667162815067,0.8888884219326084,0.8908879530325141,1.0,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,0.0,0.11111175492791459,1.0,0.0,0.500001416544293,0.7586211605355182,0.6388888953725176,0.562851830149355,0.6122447916802283,0.7619046072660848,0.6000008000576041,0.2857135821178253,0.18435761706365977,0.7307688760183644,0.7139144680889159,0.7209740832157968,0.0,0.0,0.8064519442105046,0.23333293546257847,0.5666667162815067,0.8888884219326084,0.8908879530325141,1.0,1
1.0,0.0,1.0,0.0,0.0,0.0,0.5000010853668133,0.0,1.0,1.0,0.0,0.5714290152221188,0.8888896936598933,0.0,0.0,0.500001416544293,0.8551720319982284,0.5555558149007013,0.8123822238795037,0.6530611328241969,0.7619046072660848,0.0,0.4285707520363705,0.18156440884230426,0.7115381496023548,0.6996101914933617,0.7453187588152327,0.0,0.0,0.9032262522104971,0.2999996419163206,0.6666667162815066,0.8888884219326084,0.8813003635535638,1.0,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7142864243553899,0.8888896936598933,0.0,0.0,0.0,0.7172417674684677,0.5555558149007013,0.562851830149355,0.6530611328241969,0.7142855287193017,0.25,0.4285707520363705,0.15642464420704913,0.564230384509571,0.7230171618875391,0.7265920310296191,0.0,0.0,0.8064519442105046,0.4333330548238049,0.6666667162815066,0.8888884219326084,0.9168509977744524,1.0,1
0.0,0.0,1.0,0.0,0.0,0.0,0.5000010853668133,0.0,1.0,1.0,0.0,0.7142864243553899,0.11111175492791459,1.0,0.500000817565671,0.0,0.6896555669351639,0.6388888953725176,0.562851830149355,0.6938776041598859,0.7619046072660848,0.6000008000576041,0.4285707520363705,0.0,0.8076919407086528,0.7477245503621275,0.7958806417489421,0.31250043324644294,0.0,0.7419358633683962,0.19999928383264126,0.5833332837184934,0.8888884219326084,0.9050573464421343,1.0,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7142864243553899,0.11111175492791459,0.0,0.0,0.0,0.6896555669351639,0.5555558149007013,0.5009382137316135,0.6857141927201997,0.7238093769027806,0.35000080005760414,0.3999993180526615,0.24022348697747203,0.564230384509571,0.6996101914933617,0.70412023977433,0.31250043324644294,0.0,0.8064519442105046,0.2666662290088363,0.6666667162815066,0.8888884219326084,0.8813003635535638,1.0,1
0.0,0.0,1.0,0.0,0.0,1.0000000000000002,0.5000010853668133,0.0,1.0,1.0,0.9999999999999999,0.8571450761105934,0.11111175492791459,1.0,0.500000817565671,1.0,0.6896555669351639,0.6388888953725176,0.562851830149355,0.6734692708482511,0.7142855287193017,0.6000008000576041,0.4285707520363705,0.0,1.0,0.8127442010366962,0.7022475317348378,0.374999434895944,0.0,0.8064519442105046,0.19999928383264126,0.5,0.8888884219326084,0.9050573464421343,1.0,1
0.0,0.0,1.0,0.0,0.0,1.0000000000000002,0.5000010853668133,0.0,1.0,1.0,0.9999999999999999,0.8571450761105934,0.8888896936598933,1.0,0.500000817565671,1.0,0.6896555669351639,0.6388888953725176,0.37523471990091817,0.6734692708482511,0.7142855287193017,0.6000008000576041,0.3999993180526615,0.0,1.0,0.8127442010366962,0.7022475317348378,0.374999434895944,0.0,0.8064519442105046,0.3666663483700628,0.5,0.8888884219326084,0.9050573464421343,1.0,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.666666369537749,0.14285803044423734,0.666666183804064,0.0,0.0,0.0,0.6896555669351639,0.6249999124710133,0.6885549910440206,0.48979557296074194,0.6666664501725188,0.6000008000576041,0.857141504072741,0.0,0.6346150849120664,0.7828350686206927,0.7453187588152327,0.09375000941840093,0.0,0.9677430799999251,0.33333305482380493,0.6666667162815066,0.8888884219326084,0.8757853183912565,1.0,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5714290152221188,0.11111175492791459,0.0,0.0,1.0,0.8965519786678476,0.597222180078636,0.6247654465670964,0.6530611328241969,0.7142855287193017,0.8000016001152084,0.4571420723621898,0.634078353091081,0.6730765536467105,0.5916777826519011,0.5955058180535966,0.0,0.0,0.9677430799999251,0.33333305482380493,0.6333332837184933,0.8888884219326084,0.9049725063301672,1.0,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5714290152221188,0.8888896936598933,0.0,0.0,0.0,0.8965519786678476,0.597222180078636,0.37523471990091817,0.6530611328241969,0.647619240917394,0.6000008000576041,0.4285707520363705,0.4329616761978107,0.6730765536467105,0.630689429817101,0.6722849259520451,0.0,0.0,0.9677430799999251,0.33333305482380493,0.6333332837184933,0.8888884219326084,0.9044633561872527,1.0,1
