f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,clase
0.09799458772670291,0.4812797226154312,0.06427032696840848,0.1549639622052715,0.30865870243508464,0.7006568934703462,0.7031028147725942,0.7069493014463326,0.06901943455141916,0.04898694940487211,0.015315972456944882,0.8200573150337774,0.17577407071985748,0.5251320412918297,0.09924852894045333,0.5947034638385871,0.732581086588449,0.13303818111128762,0.5032780362919268,0.09737291539801987,0.46049888949556345,0.4430631456340342,0.09530513781950703,0.7437159614578969,0.02536956545018338,0.4412412292079239,0.728539948281645,0.40813119199931586,0.23229254607282718,0.17412638717367263,0.15240625230598276,0.14055647707439184,1
0.1533080001670823,0.3964169834428134,0.061367575350860376,0.036485077056473955,0.2887952062496944,0.405183897862673,0.42139603763886835,0.44447925533187715,0.12030663338318051,0.04415297045469696,0.04238128363197326,0.5077570667668574,0.06437321645093123,0.6622617148782082,0.017897927145329368,0.4288666023921305,0.4995467301951248,0.038430386835649366,0.6204508442827735,0.006788986281106232,0.35529485469903266,0.3202096580168415,0.02513167203376372,0.798746228058991,0.0019038391550773026,0.25973291659548803,0.7496305058949548,0.42976598161894947,0.24296099142236627,0.18221168947964042,0.15838010408934844,0.14398893022490353,0
0.16588507491392276,0.3464444197032113,0.04329596336690614,0.023171203436032906,0.3066207428574533,0.560214497909266,0.5614861483603817,0.5567775259543368,0.08073635323416571,0.07578807225970832,0.0743937613075755,0.6054440441723576,0.049726056870093405,0.6565611461919073,0.011172166754924273,0.4043858637938743,0.6607633355091169,0.016831872017087968,0.6175479349483397,0.0036363367202822128,0.235770642221792,0.4839546695690364,0.013336098039037916,0.7971593565387394,0.0016460825903916385,0.16869657646485675,0.7379731381933199,0.4019004067937405,0.21966196432752683,0.1636522846680465,0.14271027307176434,0.13129138714329644,0
0.03190021238731698,0.7179765161516073,0.3318075183560223,0.2173529838113009,0.14844237521707876,0.5271023396834735,0.5268332154362108,0.5308136176089535,0.1665717960498784,0.20606515668861516,0.20861545484347663,0.6022456000766164,0.25836698205568254,0.6174141557799225,0.1400571109613481,0.7173988374692599,0.5990557044733887,0.2380940843644067,0.4895950457541213,0.18805793769346418,0.6897157065135817,0.43173111072922044,0.22515851970481598,0.653676617912242,0.10975550530467232,0.6206479261176103,0.8655113589232196,0.6851831793435106,0.5404693316835405,0.4851581560863522,0.46986964957743543,0.46436667114192787,2
0.006186406018267976,0.9252202853371083,0.7946663207877018,0.4586705946263614,0.04788679853463934,0.4850691498135429,0.4723116487446076,0.45735096553209387,0.38604698122097325,0.7936161702947123,0.9089887820128413,0.6344495767675205,0.7018464684269076,0.3205469955764429,0.5297669196992338,0.8805943298680974,0.4981905654938422,0.4781978207170583,0.5535832697001373,0.36217492393813017,0.9074267839312944,0.36680987569456386,0.44851578879949083,0.6626624894507083,0.1996243903167389,0.8730995299045257,0.9596586011519417,0.9134270438433252,0.8880117204030822,0.878346106016859,0.8733630235394719,0.8497221728981068,2
0.002133168270702715,0.943962432204603,0.738269251735974,0.4236245793575122,0.0,0.42985625885309764,0.4196599813060965,0.4036635183039179,0.480436684800899,0.5106360128283942,0.740446393460378,0.5835525007182796,0.5800539380263084,0.557537328107961,0.3247558703238842,0.887626103845294,0.4559731881632965,0.44396105187451795,0.5983457840227547,0.26961815475199147,0.9097304552306825,0.3349258177235494,0.4255197934308603,0.7205710430289672,0.1493754342760728,0.8766721711493402,1.0,0.9999999999999999,0.9734722768214852,0.9398894994341578,0.922801123366279,0.8970112473419114,2
0.20300947824877544,0.30548884258743825,0.0424861554425183,0.026484830485808616,0.3301726307859744,0.45313661105546776,0.45521317326466454,0.44138729647595315,0.05974771078484449,0.04186374645404517,0.019794844508797815,0.5239761015463271,0.031018034380905196,0.6278813207505943,0.015350900196750089,0.3045320534317013,0.5678045903507872,0.02381857943507623,0.5985704977557457,0.01884742958280773,0.20002131820465913,0.36784098069542315,0.02073558524267166,0.7835704267681827,0.007798531194803483,0.15524117437399693,0.7141395962794522,0.3706200448735437,0.19459392111498497,0.14022986527364809,0.11840705967123738,0.10512388533514652,0
0.003956844108994578,0.914200054077267,0.6010398926271387,0.39780062107538416,0.019785628527812377,0.4070789071387638,0.4001760823210295,0.38427117624336404,0.4433263781382513,0.46155740558316605,0.6171615650375035,0.5689828423247213,0.4647876753110942,0.5659686040668122,0.22296734871636087,0.8743048569192935,0.43929779627377774,0.43720963585769407,0.5970046680818359,0.26966655193686956,0.9102525337121303,0.27576712302610235,0.3570713928706273,0.7571115128443319,0.10591992473327325,0.8410512085608415,0.9841021960464672,0.9563765631426138,0.9068984110003373,0.8650262266724613,0.843640262350301,0.8206142079437329,2
0.1478658907437779,0.4362830626819144,0.07870287869047216,0.11907698391621122,0.34238934190964093,0.954194306469797,0.9569514348673529,0.960418140859322,0.08069099326623959,0.08738065964018278,0.049328287310728705,0.9999999999999999,0.08669178437465078,0.5496518956541084,0.08040950131510212,0.0,0.9110358606659223,0.13203376163306216,0.5231661901384609,0.1090529496518392,0.4928675378126217,0.6879500105019954,0.07505620317194411,0.7354343879589321,0.03570961558677626,0.3216887162323187,0.6806258137345774,0.38108551626971354,0.21867853314515384,0.1655466722892292,0.14654959870474304,0.1367214669617452,1
0.02967868328125782,0.7010924800788894,0.2371054818056386,0.16145918321032807,0.11762000220926844,0.4878989611798575,0.490898613563767,0.50263902787036,0.3375059626409451,0.21936591291208993,0.19643761852737843,0.6108897090783182,0.15664443432619995,0.6443201487363961,0.05201024339477882,0.6443160700312989,0.5487498633232497,0.18839312558853338,0.5450236369522293,0.09306935231186235,0.6878068570657885,0.40459605506864493,0.16622393355815576,0.7262645489153202,0.04679655646882254,0.605600020246373,0.8991620111731844,0.7337253999731246,0.5672531164543203,0.4909144696360107,0.47238810829112027,0.4592763502657006,2
