f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,clase
1.0,0.3841745433159664,0.0,0.0,0.0,0.692306824050923,0.0,0.04385964603276647,0.0,0.0,0.014925427299573829,1.0,0.0,0.10100015570348836,0.0,0
0.0,0.7310901762294377,0.15928588191787446,0.0,0.0,0.6153839576143356,0.1250001698054552,0.10666666666666666,0.0,0.0,0.08955256379744295,1.0,0.0,0.0215001291730057,0.005600018589653815,0
0.0,0.30529611144044533,0.017857219053579287,0.0,0.0,0.6153839576143356,0.1250001698054552,0.052631622207935935,0.0,1.0,0.0,1.0,0.0,0.1400002261614915,0.008240020356921353,0
1.0,0.3467914417591974,0.05500003555833702,0.0,0.0,0.692306824050923,0.0,0.13157905551983984,0.0,0.0,0.07462713649786912,0.0,0.0,0.05000013047778354,3.0010203469177724e-05,0
1.0,0.2513397472694369,0.20089304763394825,0.0,0.0,0.692306824050923,0.0,0.060000058710770195,0.0,1.0,0.0,1.0,1.0,0.060000208764453666,0.0,0
1.0,0.3997508512724901,0.14285721905357932,0.0,0.0,0.4615376432722335,0.0,0.08771935077630315,0.0,1.0,0.0,0.0,0.0,0.18000019136741585,0.0,0
1.0,0.4133333437608022,0.037142994296442744,0.0,0.0,0.5384607491372028,0.1250001698054552,0.22807079344670383,0.0,1.0,0.0,0.0,0.0,0.08200018092919317,0.3128502232425691,0
0.0,0.28560774677517486,0.41374969775413545,0.0,0.0,0.15384504879208383,0.0,0.0014035396723351967,0.0,1.0,0.0,1.0,0.0,0.04000013917630244,0.013490024108196785,0
1.0,0.6781306259453153,0.017857219053579287,0.4999995498634285,0.5000009908688136,0.3846146742234825,0.1250001698054552,0.1389473746011337,0.0,1.0,0.0,1.0,0.0,0.09000018614830452,0.0031400259421536644,0
1.0,0.5295950336051254,0.17553589969704297,0.4999995498634285,0.5000009908688136,0.692306824050923,0.0,0.11105271346502159,0.0,1.0,0.0,0.0,0.0,0.0260001339571911,0.014420022599350445,0
1.0,0.27514034069669047,0.02964285206309472,0.0,0.0,0.0,0.1250001698054552,0.07596496141234628,1.0,1.0,0.0,0.0,0.0,0.06400013569689489,0.0,0
1.0,0.37283499938217246,0.06553579302203195,0.0,0.0,0.0,0.1250001698054552,0.1521052801531177,0.0,1.0,0.0,1.0,0.0,0.1300002348600104,0.0020000029176586703,0
0.0,0.47663548332100286,0.21428591747621148,0.0,0.0,0.3846146742234825,0.0,0.03508778727913742,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
1.0,0.5991269080312887,0.21571447366549562,0.0,0.0,0.3846146742234825,0.0,0.0014035396723351967,1.0,1.0,0.0,1.0,0.0,0.0,0.026900031427351964,0
0.0,0.5710900510998113,0.375,0.0,0.0,0.6153839576143356,0.0,0.17543870155260632,0.0,0.0,0.10447799109701678,0.0,0.0,0.0,0.0,0
1.0,0.45694711865573245,0.15767873398096918,0.4999995498634285,0.5000009908688136,0.3846146742234825,0.0,0.00877197617516945,0.0,0.0,0.1492542004143093,0.0,0.0,0.16000020876445367,0.0,0
1.0,0.35202498838640656,0.03125008889584252,0.0,0.0,0.4615376432722335,0.0,0.03368424760680223,0.0,0.0,0.04477628189872147,0.0,0.0,0.1980000365337794,0.0,0
0.0,0.2897198191251249,0.2098215682648954,0.0,0.0,0.6153839576143356,0.0,0.11122814124637093,0.0,0.0,0.1492542004143093,1.0,0.0,0.060000208764453666,0.0024499996665532948,0
1.0,0.27202508223362637,0.008928698422632192,0.0,0.0,0.07692149827440542,0.1250001698054552,0.02333342139948863,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.23887871341718062,0.30660745018276986,0.0,0.0,0.15384504879208383,0.1250001698054552,0.026315811103967968,0.0,0.0,0.10447799109701678,1.0,0.0,0.048000167011562934,0.0,0
1.0,0.3115266283665735,0.4017860952678965,0.0,0.0,0.0,0.0,0.08771935077630315,0.0,0.0,0.253732264092755,1.0,0.0,0.10000017397037805,0.012080023874784093,0
1.0,0.2897198191251249,0.0357144381071586,0.0,0.0,0.0,0.0,0.029298318229987692,0.0,1.0,0.0,1.0,1.0,0.15000021746297257,0.0,0
0.0,0.5950148356813386,0.2857146158988436,0.0,0.0,0.0,0.0,0.27631578174858284,0.0,0.0,0.08955256379744295,0.0,0.0,0.0,0.012600023591354393,0
0.0,0.3416823991103284,0.5178573968452643,0.0,0.0,0.7692300325280559,0.1250001698054552,0.10824563412035121,0.0,0.0,0.014925427299573829,1.0,0.0,0.060000208764453666,0.00011003741272032526,0
0.0,0.5130217709908859,0.2321431365297908,0.0,0.0,0.6153839576143356,0.0,0.0175439523503389,0.0,0.0,0.04477628189872147,0.0,0.0,0.07250015439871052,0.0,0
0.0,0.19725903553212154,0.020892834283926215,0.0,0.0,0.0,0.1250001698054552,0.052631622207935935,0.0,0.0,0.029850869115433436,1.0,0.0,0.05000013047778354,0.0,0
0.0,0.5856692167041795,0.46428698422632164,0.0,0.0,0.2307682572692167,0.25000039185874273,0.18122817060175603,0.0,0.0,0.13432855537044872,0.0,0.0,0.0,0.0,0
1.0,0.7050460085995336,0.6607147936905287,0.0,0.0,0.07692149827440542,0.25000039185874273,0.5263156349716573,0.0,0.0,0.253732264092755,0.0,0.0,0.0,0.0,0
1.0,0.7155131018539518,0.3035716571607379,0.0,0.0,0.8461535830457343,0.1250001698054552,0.2456135715816388,0.0,0.0,0.04477628189872147,1.0,0.0,0.0,0.0,0
1.0,0.5243613305658831,0.037142994296442744,0.0,0.0,0.692306824050923,0.0,0.17543870155260632,0.0,0.0,0.08955256379744295,0.0,0.0,0.2500006523889177,0.10000025008502891,0
1.0,0.3644860222386629,0.5282155404156058,0.0,0.0,0.9230750813201397,0.0,0.1768421238034011,0.0,0.0,0.07462713649786912,0.0,0.0,0.0840001878880083,0.0,0
