f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,clase
0.10958894493907309,0.0,0.1444304547686502,0.13333351843522268,0.39999931532173033,0.3333333333333333,0.5384616942197104,0.19999999999999996,1.0,0.0,0.0,0.0,0.3979591340368446,0.0,0
0.2876710990368179,0.0,0.05167687618731309,0.20000004627547233,0.533333048050721,0.0,0.6923073461784213,0.39999926250967954,0.0,0.0,0.0,0.0,0.49999987265996776,0.0,0
0.1506847755768753,0.5714289561612502,0.21901175466801046,0.333333564710695,0.733333048050721,0.0,0.9230779614647359,0.39999926250967954,0.0,0.0,0.0,0.0,0.3979591340368446,0.0,1
0.3698628551698232,0.0,0.09941799290224773,0.06666675921761134,0.5999997261286921,0.0,0.5384616942197104,0.39999926250967954,1.0,0.0,0.07688058319733329,0.0,0.3979591340368446,0.0,1
0.013699305833540398,0.5000004488547919,0.06094153301714599,0.06666675921761134,0.5999997261286921,0.3333333333333333,0.49999999999999994,0.19999999999999996,0.0,1.0,0.0,0.0,0.29591836994571497,0.0,0
0.2328766265672814,0.0,0.1253980639370336,0.799999722347166,0.33333390389855805,0.3333333333333333,0.15384565195871092,0.5999990166795727,0.0,0.0,0.0,0.0,0.29591836994571497,0.0,0
0.1643835122660105,0.5000004488547919,0.14458213021326186,0.20000004627547233,0.533333048050721,0.3333333333333333,0.49999999999999994,1.0,1.0,0.0,0.0,0.0,0.3979591340368446,0.0,0
0.6301358168265646,0.14285728392579172,0.061705994436896866,0.2666668054930837,0.9333328768811536,0.0,0.3846152998137132,0.39999926250967954,0.0,0.0,0.031030232319860893,0.0,0.31632652021714025,0.0,1
0.09588944939073088,0.0,0.24116324114463067,0.06666675921761134,0.5999997261286921,0.3333333333333333,0.15384565195871092,1.0,0.0,1.0,0.0,0.0,0.3979591340368446,0.0,0
0.5205470616022932,0.0,0.06195652018306991,0.5333326854767206,0.19999965766086514,0.0,0.07692203853526403,0.39999926250967954,0.0,0.0,0.0,0.0,0.0918363578713331,0.0,0
0.6575344284936455,0.0,0.1157569456473657,0.20000004627547233,0.533333048050721,0.0,0.5384616942197104,0.39999926250967954,0.0,0.0,0.06418049551872919,0.0,0.3979591340368446,0.0,1
0.2602739102307501,0.42857194154833367,0.13472301157715263,0.0,0.8000003423391349,0.0,0.6153853076431572,0.39999926250967954,0.0,0.0,0.0,0.0,0.3979591340368446,0.0,0
0.1232876816282083,0.0,0.046447473340481674,0.20000004627547233,0.533333048050721,0.3333333333333333,0.6153853076431572,0.5999990166795727,0.0,1.0,0.0,0.0,0.38775510983714484,0.0,0
0.5616430819548972,0.5000004488547919,0.19387758023623863,0.20000004627547233,0.533333048050721,0.0,0.49999999999999994,0.39999926250967954,0.0,0.0,0.0,0.0,0.34693880929429427,0.0,0
0.42465742249676064,0.0,0.1802635817164879,0.20000004627547233,0.533333048050721,0.0,0.5384616942197104,0.39999926250967954,0.0,0.0,0.031030232319860893,0.0,0.4795917223885425,0.0,1
0.3561643081954897,0.0,0.22526630886818194,0.6666662039119433,0.8666657537623071,0.0,0.30769220385352636,0.39999926250967954,0.0,0.0,0.0,0.0,0.49999987265996776,0.0,1
0.04109602035260396,0.7142859707741668,0.2918689363822078,0.06666675921761134,0.5999997261286921,0.3333333333333333,0.15384565195871092,0.19999999999999996,0.0,0.0,0.0,0.0,0.24489780325710336,0.0,0
0.3561643081954897,0.0,0.0777720673814047,0.20000004627547233,0.533333048050721,0.0,0.6153853076431572,0.0,0.0,1.0,0.0,0.0,0.29591836994571497,0.0,0
