f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,clase
0.0,0.04481785299652395,0.12549015537485494,0.0,0.032000097649130796,0.0,0.0,0.0,0.0,0.0,0.0,0.06618393226759758,0.0,0.0,0.0,0.016000032205926343,0.0,0.14191382888829498,0.10293336853361684,0.0,0.08640872987994273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023954682612227857,0.0,0.0,0.0025020479382609475,0.00600721133071856,0.017487360594269016,1
0.04625554453397128,0.01960781407508856,0.09803918079749471,0.0,0.014000074245620112,0.04761906092440457,0.028885878920516413,0.006300622800765595,0.0,0.05170508460486403,0.0804594461463285,0.08169581227804845,0.11711723830367239,0.020999980961579665,0.03174612118567655,0.0069999993806552615,0.00980390632535986,0.030802983954530884,0.18506672161345067,0.0,0.14311442846510503,0.0,0.07889918410805855,0.03439996450421284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010159658091502561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01353569098943083,0.0,0.011453890246584188,0.0299850238310853,0.002420691538617051,0.0037349128205400005,0.010012025388713874,0.06483575404469595,1
0.013215812215879206,0.0,0.13921569208930643,0.0,0.12300051299419404,0.03231293752504234,0.026134801809269068,0.01080106507988406,0.12167269706707431,0.013751381188821795,0.14559328718001902,0.0465355509210265,0.021621634815319167,0.0,0.39682616265235554,0.0030000233286517734,0.008403392702116867,0.11331099547068732,0.07253335323134151,0.01760175530218326,0.045904674902503065,0.0,0.21284443318384763,0.0047999872237829136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012605044487786921,0.0,0.0,0.03361352492914023,0.0,0.0028011277246607676,0.0027210897284017516,0.0,0.0,0.0022804682822130584,0.014663664776499025,0.0,0.008498052965486813,0.030651359514438387,0.0005043062263323621,0.008008174584871578,0.04845806863503926,0.14255037110615867,1
0.0,0.0,0.0,0.0,0.06300016597662177,0.0,0.04264104910296279,0.056705623256889055,0.058935274714582014,0.03465349378885292,0.1187732658781329,0.032057796244605696,0.055855937852242854,0.0,0.0,0.01550003107046099,0.0,0.0,0.16960006045156295,0.0,0.02790278862518139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014048406296783533,0.0,0.004218223174166037,0.0,0.0,0.0023032284056511854,0.003904687364967064,0.011994951549088246,1
0.0,0.0,0.0,0.0,0.06300016597662177,0.0,0.04264104910296279,0.056705623256889055,0.058935274714582014,0.03465349378885292,0.1187732658781329,0.032057796244605696,0.055855937852242854,0.0,0.0,0.01550003107046099,0.0,0.0,0.16960006045156295,0.0,0.02790278862518139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013843319952057951,0.0,0.004156642173903741,0.0,0.0,0.0023032284056511854,0.003904687364967064,0.011994951549088246,1
0.0,0.0,0.0,0.0,0.18500031339183853,0.0,0.0,0.16651640042738064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02286711856552225,0.0,0.0,0.0,0.0,0.0018157128066671959,0.0014016839446709187,0.003345971048387292,1
0.0,0.0,0.0,0.0,0.1920005186433173,0.0,0.0,0.0,0.0,0.03520352222478044,0.3678144454833955,0.13236786453519517,0.0,0.0,0.0,0.04800008423088429,0.0,0.035203460315898494,0.20533371412262708,0.0,0.057605819919961825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005537321327288189,0.0,0.005049566677707045,0.008995494861355034,0.0,0.0006091820570016731,0.00030035666402616294,0.007007594687068507,1
0.0,0.0,0.0,0.0,0.188000401356758,0.0,0.0,0.16921668023485067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021123864674749842,0.0,0.0,0.0,0.0,0.001316392649003459,0.0010012083926360339,0.0030303184580933677,1
0.033039665058627384,0.0,0.09019610169055908,0.0,0.06100017458480961,0.0,0.04126551054733911,0.0,0.17490467087171202,0.04180421810703967,0.29118680601978664,0.09513944162043919,0.0,0.0,0.0,0.0,0.0,0.01650160814614866,0.06560007787494575,0.19416936843470364,0.1800181061870804,0.0,0.0,0.011999976912157593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008250818472422709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08403371828409871,0.0,0.0,0.0,0.0,0.0,0.0,0.027789181967556198,0.0,0.005573005179936569,0.033816454010365565,0.0011094814927310134,0.00793826325271993,0.04445331311469041,0.07929276517449299,1
0.013215812215879206,0.008403346307145128,0.15098040960125264,0.0,0.01900008635088426,0.05442177726092674,0.052269657461985725,0.0,0.01140681369476574,0.0,0.0,0.06618393226759758,0.045045104172356284,0.0,0.027210952631327494,0.0,0.0,0.013201253796581637,0.08906670040237598,0.0033003326241557336,0.06390645309609097,0.0,0.03486247353406247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002999981745031328,0.0,0.0,0.0,0.0,0.009121998057115648,0.0030762896262712166,0.0,0.007512769016298271,0.013493252532008015,0.0,0.0006618387999655024,0.004205047931502992,0.047222178732479914,1
0.0,0.0,0.0,0.0,0.0,0.0,0.132049547601969,0.0,0.0,0.10561063760456713,0.3678144454833955,0.0,0.0,0.0,0.0,0.0,0.0,0.10561003037265308,0.2047996495627441,0.0,0.08640872987994273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20168027073462558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014225010143787116,0.0,0.0,0.0002832460358661551,0.0005005944400436058,0.0012626486406554817,1
0.0,0.0,0.04901960028390163,0.0,0.038000105450301025,0.04251703531420027,0.03438792545611592,0.0,0.0,0.0,0.045976815337913965,0.012409504008360682,0.021621634815319167,0.0,0.0,0.0,0.0,0.0,0.06186673933984885,0.0,0.06930698655416734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005017096849275883,0.004511900692885273,0.0,0.020413825326346655,0.0,0.0,0.00022062253520785955,0.0010012083926360339,0.011553014954988882,1
