f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,clase
0.52103688334562,0.022658612469073136,0.5459894314226272,0.363732577805576,0.5937529757861472,0.7920374267186987,0.703138921316834,0.7311130353950386,0.6863638818084018,0.605517438281243,0.3561473257368145,0.12046967142263233,0.3690334197088636,0.27381199189755023,0.15929528529901688,0.35139824399061736,0.13568143721886441,0.3006256779248953,0.31164536525675685,0.18304221710898597,0.6207752103260504,0.14152440892255416,0.668310618130213,0.45069833242610524,0.6011362676863322,0.61929113004294,0.568609382758839,0.9120271964400672,0.5984616679207638,0.41886351224401075,1
0.6431435404942909,0.27257359540020565,0.6157833492013117,0.5015905192810345,0.2898799782124842,0.18176792000168476,0.20360777025449453,0.34875713329694763,0.37979748591556123,0.1413220498270596,0.15643653840553443,0.08258958125313172,0.12444030561694991,0.12566010834987357,0.11938639073063984,0.08132343605414362,0.046969471752852994,0.253836470489228,0.08453852631774848,0.09110979775901298,0.6069013423384233,0.3035714461227973,0.5398179882987697,0.4352148171573862,0.3475534660989349,0.1545635087215825,0.19297076261160231,0.639175071435832,0.23358951875596815,0.2228779555682972,1
0.6014950814422433,0.39026049113538874,0.5957443593114808,0.4494161129828468,0.5143087859808255,0.4310163563702693,0.46251132383843097,0.635685481149196,0.5095955561155332,0.2112463307786333,0.22962180422511594,0.0943027164232602,0.1803702080634098,0.16292245574920472,0.15083082927785219,0.2839550291592244,0.09676735522732106,0.3898465552064632,0.20569008193327162,0.1270052006914753,0.5563852633352648,0.36007468224416944,0.5084412193913754,0.374507962850758,0.48358985802685067,0.3853753402157536,0.3597438520834097,0.8350504286149918,0.40370546074960456,0.2134328128350355,1
0.21008979828742788,0.36083876720159297,0.23350175219423078,0.10290503010119315,0.8113208744970525,0.8113614973279358,0.5656035489143124,0.5228622287707876,0.7762619920221641,1.0,0.13909090817799033,0.17587539150460904,0.12665488529837665,0.03815484039805324,0.2514529305614528,0.5432156383825776,0.14295412568499705,0.3536664048473968,0.7281476380791975,0.28720450720500085,0.24830991219005596,0.3859274997419948,0.24134624395860388,0.0940082364185153,0.9154719973945454,0.8140113173734045,0.5486417761721782,0.8848781920240341,0.9999999999999999,0.7737105909418844,1
0.6298922887555332,0.15657831388389096,0.63098638376328,0.4892888117305834,0.4303510507143792,0.34789256017611814,0.4639178146159234,0.5183898757808296,0.378282333980846,0.18681489280074232,0.23382241739614207,0.0930651412464507,0.22056245712979194,0.16368800810244977,0.3323582486853709,0.16791877380619336,0.1436359021150772,0.3570758995362059,0.13617916912869713,0.1457993606321642,0.5197430523197334,0.12393419313198556,0.506946768773513,0.341574882701702,0.4373638469054196,0.17241531432653687,0.3194883706979581,0.5584188116239933,0.1575003750096039,0.1425945384995386,1
0.25883789274241703,0.2025702936252471,0.26798446449350927,0.14150531342410214,0.6786125567700643,0.46199577847866485,0.36972776091524634,0.40203753382229,0.5186867169446633,0.5511787605987337,0.08075299731775334,0.11713244895048112,0.06879315600945049,0.038080154435955305,0.19706260002612927,0.23431104607372652,0.09272700662490939,0.2153822561340515,0.19372973186743653,0.14465930397214352,0.26823161054819744,0.3126334050287245,0.26390726038584605,0.13674819592209128,0.7127380794422398,0.4827835182163306,0.4277146980114043,0.5982812482352808,0.4770353874916309,0.45493865259611416,1
0.5333424510395853,0.34731152610365823,0.5238750107045886,0.3802751725239473,0.37916397391084644,0.2748909548316657,0.26405771655381743,0.367792887049462,0.3707065687690291,0.1571182151003887,0.12138305916708761,0.09127504014103309,0.11416850849782789,0.08798711560945105,0.0884178928373126,0.08688117347048568,0.056918955961236924,0.19681807768551768,0.08172425103870544,0.04436631370709932,0.5318390569414904,0.4168443762255243,0.5119271551551016,0.34919419952395014,0.48226903730866194,0.2234481047902683,0.3022358787046634,0.6639161518392609,0.29528865983153224,0.18785236107836856,1
0.31847152773839743,0.37605689525518937,0.32071068393505714,0.18426259167317255,0.5982666482141474,0.44512589237550493,0.21944657483072613,0.2974648952111687,0.5737368311016531,0.5170590911929764,0.17092137331832374,0.22471736689452873,0.14602069202042525,0.08247717787324288,0.24108481399222653,0.2105780197551055,0.06282801533996968,0.27429495810891685,0.09818744155100939,0.15606014482220837,0.32479517604114183,0.4296374987099743,0.29976557374854407,0.17494120742033303,0.6222678913911439,0.3307527564536047,0.21389729088418688,0.5347075366214522,0.32150591661493766,0.3939395375340441,1
0.2848685549213931,0.4095367478825731,0.3020525943724928,0.1596176782747456,0.674098884342064,0.5331574096123037,0.4355657249591408,0.4648604969152529,0.6515145011914141,0.5040015702929131,0.07054117916423566,0.14184079401828503,0.07769863196402713,0.032719673590907855,0.1365874146715877,0.2461023747014138,0.08972190016213534,0.2322415119127768,0.1906340872186888,0.09860672844601802,0.2689430997752739,0.4986673830745364,0.2778521246970934,0.13618286920102823,0.6546264912005597,0.49753090754221874,0.4305107961381186,0.7079025536192272,0.5545044446260209,0.3421226900691484,1
0.2593112351267417,0.4846132923350821,0.27765906179108335,0.14099628754439048,0.5955584447573472,0.6754790519558151,0.5325668923651646,0.42460199144100796,0.48989852558182684,0.6838670247410354,0.06739066907543331,0.27378025512262977,0.06040602850392499,0.032009859566600504,0.1847908024953457,0.5251148615205835,0.19552972976681327,0.27126404940903653,0.14082263610181872,0.31733085411461626,0.2547133152337443,0.7638589703056582,0.23527037339509727,0.12932576392571832,0.7536820139198823,1.0,0.8825872072678556,0.7594492946770421,0.5521385303769974,1.0,1
